seed_dir,run_dir,method,n_agents,min_at_lever,weights,ablation,n_rows,expected,status,nan_inf,n_agents_found,final_mean_env,final_reward_env_stdev,final_fairness_var,final_fairness_sigma,final_energy_var,final_mean_winrate,converged,suspicious_reason,path
nano_er10,er_eia_4_2_w1.5-1.5,eia,4,2,1.5-1.5,,50,50,OK,False,4,44.75,54.85004557883247,3008.5274999999997,54.85004557883247,2952.701769000001,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er10/er_eia_4_2_w1.5-1.5/log.csv
nano_er2,er_eia_4_2_w1.5-1.5,eia,4,2,1.5-1.5,,50,50,OK,False,4,44.4,54.8,3003.04,54.8,3068.909015999999,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er2/er_eia_4_2_w1.5-1.5/log.csv
nano_er3,er_eia_4_2_w1.5-1.5,eia,4,2,1.5-1.5,,50,50,OK,False,4,44.9,54.9,3014.0099999999998,54.9,2895.720521,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er3/er_eia_4_2_w1.5-1.5/log.csv
nano_er4,er_eia_4_2_w1.5-1.5,eia,4,2,1.5-1.5,,50,50,OK,False,4,45.0,55.0,3025.0,55.0,2806.3506250000005,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er4/er_eia_4_2_w1.5-1.5/log.csv
nano_er5,er_eia_4_2_w1.5-1.5,eia,4,2,1.5-1.5,,50,50,OK,False,4,37.4,50.1280360676538,2512.8200000000006,50.1280360676538,4498.298999999999,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er5/er_eia_4_2_w1.5-1.5/log.csv
nano_er6,er_eia_4_2_w1.5-1.5,eia,4,2,1.5-1.5,,50,50,OK,False,4,30.5,41.90047732425014,1755.65,41.90047732425014,8215.280674000001,0.0,False,unstable(29%),/home/yifan/greedy_agent/lio/results/nano_er6/er_eia_4_2_w1.5-1.5/log.csv
nano_er7,er_eia_4_2_w1.5-1.5,eia,4,2,1.5-1.5,,50,50,OK,False,4,42.60000000000001,52.800000000000004,2787.84,52.800000000000004,3279.383088999999,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er7/er_eia_4_2_w1.5-1.5/log.csv
nano_er8,er_eia_4_2_w1.5-1.5,eia,4,2,1.5-1.5,,50,50,OK,False,4,41.099999999999994,52.71214281358708,2778.57,52.71214281358708,5074.427011000001,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er8/er_eia_4_2_w1.5-1.5/log.csv
nano_er9,er_eia_4_2_w1.5-1.5,eia,4,2,1.5-1.5,,50,50,OK,False,4,44.25,54.45573890785066,2965.4275,54.45573890785066,2897.5408189999994,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er9/er_eia_4_2_w1.5-1.5/log.csv
nano_er1,er_eia_4_2_w2.0-0.2,eia,4,2,2.0-0.2,,50,50,OK,False,4,44.650000000000006,54.75004566208142,2997.5675,54.75004566208142,3044.6217290000004,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er1/er_eia_4_2_w2.0-0.2/log.csv
nano_er10,er_eia_4_2_w2.0-0.2,eia,4,2,2.0-0.2,,50,50,OK,False,4,18.2,28.912626999288737,835.9399999999999,28.912626999288737,18414.844500000003,0.0,False,unstable(57%),/home/yifan/greedy_agent/lio/results/nano_er10/er_eia_4_2_w2.0-0.2/log.csv
nano_er2,er_eia_4_2_w2.0-0.2,eia,4,2,2.0-0.2,,50,50,OK,False,4,45.0,55.0,3025.0,55.0,2806.350625000001,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er2/er_eia_4_2_w2.0-0.2/log.csv
nano_er3,er_eia_4_2_w2.0-0.2,eia,4,2,2.0-0.2,,50,50,OK,False,4,42.25,52.75042653855986,2782.6075,52.75042653855986,3668.0392060000004,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er3/er_eia_4_2_w2.0-0.2/log.csv
nano_er4,er_eia_4_2_w2.0-0.2,eia,4,2,2.0-0.2,,50,50,OK,False,4,45.0,55.0,3025.0,55.0,2806.350625000001,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er4/er_eia_4_2_w2.0-0.2/log.csv
nano_er5,er_eia_4_2_w2.0-0.2,eia,4,2,2.0-0.2,,50,50,OK,False,4,44.849999999999994,54.950045495886535,3019.5075,54.950045495886535,2862.9188010000003,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er5/er_eia_4_2_w2.0-0.2/log.csv
nano_er6,er_eia_4_2_w2.0-0.2,eia,4,2,2.0-0.2,,50,50,OK,False,4,44.599999999999994,55.00018181788129,3025.0199999999995,55.00018181788129,3034.9081000000006,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er6/er_eia_4_2_w2.0-0.2/log.csv
nano_er7,er_eia_4_2_w2.0-0.2,eia,4,2,2.0-0.2,,50,50,OK,False,4,43.35,54.15632465372811,2932.9075,54.15632465372811,3319.143144,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er7/er_eia_4_2_w2.0-0.2/log.csv
nano_er8,er_eia_4_2_w2.0-0.2,eia,4,2,2.0-0.2,,50,50,OK,False,4,44.099999999999994,53.61613563098332,2874.6899999999996,53.61613563098332,3040.9106827499995,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er8/er_eia_4_2_w2.0-0.2/log.csv
nano_er9,er_eia_4_2_w2.0-0.2,eia,4,2,2.0-0.2,,50,50,OK,False,4,45.0,55.0,3025.0,55.0,2806.3506250000005,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er9/er_eia_4_2_w2.0-0.2/log.csv
nano_er1,er_eia_6_4_w2.0-0.2,eia,6,4,2.0-0.2,,50,50,OK,False,6,-6.733333333333333,4.763285514105667,22.688888888888894,4.763285514105667,47058.40138888888,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er1/er_eia_6_4_w2.0-0.2/log.csv
nano_er10,er_eia_6_4_w2.0-0.2,eia,6,4,2.0-0.2,,50,50,OK,False,6,-6.7,4.738143096192854,22.45,4.738143096192854,46945.507333333335,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er10/er_eia_6_4_w2.0-0.2/log.csv
nano_er2,er_eia_6_4_w2.0-0.2,eia,6,4,2.0-0.2,,50,50,OK,False,6,26.3,51.40671162406714,2642.65,51.40671162406714,2945.330514222223,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er2/er_eia_6_4_w2.0-0.2/log.csv
nano_er3,er_eia_6_4_w2.0-0.2,eia,6,4,2.0-0.2,,50,50,OK,False,6,26.333333333333332,51.52470820446784,2654.795555555556,51.52470820446784,2836.2823222222246,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er3/er_eia_6_4_w2.0-0.2/log.csv
nano_er4,er_eia_6_4_w2.0-0.2,eia,6,4,2.0-0.2,,50,50,OK,False,6,-5.0,5.0,25.0,5.0,35474.775555555556,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er4/er_eia_6_4_w2.0-0.2/log.csv
nano_er5,er_eia_6_4_w2.0-0.2,eia,6,4,2.0-0.2,,50,50,OK,False,6,26.33333333333334,51.66632257949939,2669.408888888889,51.66632257949939,2701.504968,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er5/er_eia_6_4_w2.0-0.2/log.csv
nano_er6,er_eia_6_4_w2.0-0.2,eia,6,4,2.0-0.2,,50,50,OK,False,6,26.46666666666667,51.57165457453887,2659.635555555556,51.57165457453887,2770.697660888891,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er6/er_eia_6_4_w2.0-0.2/log.csv
nano_er7,er_eia_6_4_w2.0-0.2,eia,6,4,2.0-0.2,,50,50,OK,False,6,-5.033333333333333,5.03377481507555,25.33888888888889,5.03377481507555,32974.00955555555,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er7/er_eia_6_4_w2.0-0.2/log.csv
nano_er8,er_eia_6_4_w2.0-0.2,eia,6,4,2.0-0.2,,50,50,OK,False,6,26.400000000000006,51.61885960253934,2664.5066666666676,51.61885960253934,2739.4528080000005,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er8/er_eia_6_4_w2.0-0.2/log.csv
nano_er9,er_eia_6_4_w2.0-0.2,eia,6,4,2.0-0.2,,50,50,OK,False,6,-6.666666666666667,4.714045207910317,22.222222222222225,4.714045207910317,47171.70888888889,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er9/er_eia_6_4_w2.0-0.2/log.csv
nano_er1,er_lio_3_1,lio,3,1,,,50,50,OK,False,3,61.199999999999996,50.6288455329568,2563.28,50.6288455329568,2628.5116808888897,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er1/er_lio_3_1/log.csv
nano_er10,er_lio_3_1,lio,3,1,,,50,50,OK,False,3,13.266666666666666,17.04138752827624,290.4088888888889,17.04138752827624,574.2583999999999,0.0,False,unstable(61%),/home/yifan/greedy_agent/lio/results/nano_er10/er_lio_3_1/log.csv
nano_er2,er_lio_3_1,lio,3,1,,,50,50,OK,False,3,61.86666666666667,51.948778191171684,2698.675555555555,51.948778191171684,2671.1227768888884,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er2/er_lio_3_1/log.csv
nano_er3,er_lio_3_1,lio,3,1,,,50,50,OK,False,3,61.06666666666666,50.81740734127321,2582.4088888888887,50.81740734127321,2395.519616888888,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er3/er_lio_3_1/log.csv
