group,method,ablation,n_seeds,mean_env,std_env,mean_reward_env_stdev,std_reward_env_stdev,mean_coop_rate,std_coop_rate,mean_payoff_gap,std_payoff_gap,mean_fairness_var,std_fairness_var
ipd_lio,lio,,10,-66.41666666666667,15.519208527928651,31.95,35.16635465896344,0.6716666666666666,0.310384170558573,63.9,70.33270931792688,2257.475,2720.1253543035477
ipd_eia,eia,,10,-77.61666666666666,7.465866772630401,66.85,22.296916827220755,0.44766666666666666,0.149317335452608,133.7,44.59383365444151,4966.075,1659.3621705718735
