group,method,n_agents,min_at_lever,weights,ablation,n_seeds,mean_env,std_env,mean_reward_env_stdev,std_reward_env_stdev,mean_fairness_var,std_fairness_var,mean_fairness_sigma,std_fairness_sigma,mean_energy_var,std_energy_var
lio_3_1,lio,3,1,,,10,46.51333333333333,18.884821653616136,40.986642887806724,12.655398246890634,1840.0639999999999,903.3596950341255,40.986642887806724,12.655398246890634,2290.7540594666652,1085.1414861628884
eia_3_1_w2.0-0.2,eia,3,1,2.0-0.2,,10,54.53333333333334,19.4693833720765,46.23430789935221,13.905374490986015,2330.9706666666666,778.6503794826305,46.23430789935221,13.905374490986015,4926.51869608889,5149.433439547343
lio_4_2,lio,4,2,,,10,43.559999999999995,0.7282856582413241,54.19143488001795,0.6343387460761978,2937.114,68.21463271542251,54.19143488001795,0.6343387460761978,3402.0562879000004,551.2048207982248
eia_4_2_w2.0-0.2,eia,4,2,2.0-0.2,,10,41.699999999999996,7.878705477424575,51.91357867984092,7.7009316742823675,2754.3239999999996,644.2002540022007,51.91357867984092,7.7009316742823675,4580.443803775001,4618.6979590781675
lio_6_4,lio,6,4,,,10,0.753333333333334,12.991477548334865,13.522952679800872,19.044817776844173,545.5753333333333,1054.0279507832306,13.522952679800872,19.044817776844173,28883.475800000004,19793.765313947162
eia_6_4_w2.0-0.2,eia,6,4,2.0-0.2,,10,10.170000000000002,16.207223698092157,28.203750521839698,23.354188557269417,1340.869666666667,1317.34598303653,28.203750521839698,23.354188557269417,22361.767099555556,20069.881947475355
eia_4_2_w2.0-0.2,eia,4,2,2.0-0.2,,10,41.699999999999996,7.878705477424575,51.91357867984092,7.7009316742823675,2754.3239999999996,644.2002540022007,51.91357867984092,7.7009316742823675,4580.443803775001,4618.6979590781675
eia_4_2_w1.1-0.9,eia,4,2,1.1-0.9,,10,43.94500000000001,0.5901059226952392,54.38688564543484,0.5695786077394582,2958.2577499999998,61.43419685372728,54.38688564543484,0.5695786077394582,3249.402470350001,435.96059331371214
eia_4_2_w1.5-1.5,eia,4,2,1.5-1.5,,10,41.99,4.465131577008678,52.65464406921742,3.8829058634001554,2787.5885,378.32941067144105,52.65464406921742,3.8829058634001554,3849.4963149000005,1634.3889584681788
